ID,X,Y,File
000,975,140,logfile_000
001,935,140,logfile_001
002,895,140,logfile_002
003,855,140,logfile_003
004,815,140,logfile_004
005,775,140,logfile_005
006,735,140,logfile_006
007,695,140,logfile_007
008,655,140,logfile_008
009,615,140,logfile_009
010,575,140,logfile_010
011,535,140,logfile_011
012,495,140,logfile_012
013,455,140,logfile_013
014,415,140,logfile_014
015,375,140,logfile_015
016,335,140,logfile_016
017,295,140,logfile_017
018,255,140,logfile_018
019,215,140,logfile_019
020,175,140,logfile_020
021,135,140,logfile_021
121,135,180,logfile_121
221,135,220,logfile_221
321,135,260,logfile_321
421,135,300,logfile_421
